mix_id,title,url,audio_source,audio_url,num_identified_tracks,num_total_tracks,num_available_transitions,num_timestamps,num_tracklist,tags
mix0000,"1988-06 - Paul Oakenfold @ Spectrum, London (Test Pressing 354, 2014-06-13)","https://www.mixesdb.com/w/1988-06_-_Paul_Oakenfold_@_Spectrum,_London_(Test_Pressing_354,_2014-06-13)",soundcloud,https://soundcloud.com/rave_on/paul-oakenfold-live-spectrum-london-uk-061988,23,26,20,26,26,Category:Paul Oakenfold|Category:Spectrum (London)|Category:Test Pressing|Category:House (Old School)
mix0001,1991-08-04 - Frankie Knuckles @ Sound Factory (DHP 1192),https://www.mixesdb.com/w/1991-08-04_-_Frankie_Knuckles_@_Sound_Factory_(DHP_1192),soundcloud,https://soundcloud.com/the-roadblock/frankie-knuckles-sound-factory-new-york-8th-april-991,26,42,16,42,42,Category:Frankie Knuckles|Category:Sound Factory (NYC)|Category:DHP|Category:House
mix0002,"1993-08-13 - Paul Oakenfold @ Universe - Big Love, Lower Pertwood Farm, Wiltshire","https://www.mixesdb.com/w/1993-08-13_-_Paul_Oakenfold_@_Universe_-_Big_Love,_Lower_Pertwood_Farm,_Wiltshire",soundcloud,https://soundcloud.com/rave_on/paul-oakenfold-live-universe-big-love-warminster-wiltshire-13081993,17,24,10,0,24,Category:Paul Oakenfold|Category:Universe (Event)|Category:Lower Pertwood Farm|Category:Progressive House|Category:Trance
mix0003,1993-11-13 - Andrew Weatherall - Essential Mix,https://www.mixesdb.com/w/1993-11-13_-_Andrew_Weatherall_-_Essential_Mix,mixcloud,https://www.mixcloud.com/DJ_Mix/andy-weatherall-essential-mix-1993-11-13/,15,20,10,0,20,Category:Andrew Weatherall|Category:Essential Mix|Category:Tech House
mix0004,1993 - DJ Clarky - Promo Mix,https://www.mixesdb.com/w/1993_-_DJ_Clarky_-_Promo_Mix,soundcloud,https://soundcloud.com/ethereal94/dj-clarky-studio-mix-late-1993,17,23,15,0,23,Category:Clarky|Category:Promo Mix|Category:Jungle
mix0005,1994-01-08 - Andy Carroll & Paul Bleasdale (Cream) - Essential Mix,https://www.mixesdb.com/w/1994-01-08_-_Andy_Carroll_%26_Paul_Bleasdale_(Cream)_-_Essential_Mix,mixcloud,https://www.mixcloud.com/DJ_Mix/andy-carroll-paul-bleasdale-cream-essential-mix-1994-01-08/,24,29,19,0,29,Category:Andy Carroll|Category:Paul Bleasdale|Category:Cream|Category:Essential Mix|Category:House
mix0006,"1994-03-02 - Fabio & Grooverider - Giving It Up, Kiss 100 FM","https://www.mixesdb.com/w/1994-03-02_-_Fabio_%26_Grooverider_-_Giving_It_Up,_Kiss_100_FM",soundcloud,https://soundcloud.com/ethereal94/fabio-grooverider-kiss-100-fm-2nd-march-1994,18,23,14,0,23,Category:Fabio (Fitzroy Heslop)|Category:Grooverider|Category:Giving It Up|Category:Jungle|Category:Drum & Bass
mix0007,1994-03-19 - Paul Oakenfold - Essential Mix,https://www.mixesdb.com/w/1994-03-19_-_Paul_Oakenfold_-_Essential_Mix,soundcloud,http://soundcloud.com/pauloakenfold/paul-oakenfold-radio-1,21,25,16,0,25,Category:Paul Oakenfold|Category:Essential Mix|Category:Trance
mix0008,1994-05-25 - DJ Rap - Kiss 100 FM,https://www.mixesdb.com/w/1994-05-25_-_DJ_Rap_-_Kiss_100_FM,soundcloud,https://soundcloud.com/ethereal94/dj-rap-kiss-100-fm-25th-may-1994,25,33,20,0,33,Category:DJ Rap|Category:Kiss FM UK|Category:Drum & Bass|Category:Jungle
mix0009,"1994-06-04 - LTJ Bukem @ Quest, Palomas, Wolverhampton","https://www.mixesdb.com/w/1994-06-04_-_LTJ_Bukem_@_Quest,_Palomas,_Wolverhampton",soundcloud,https://soundcloud.com/rave_on/ltj-bukem-live-quest-palomas-wolverhampton-04061994,12,13,10,0,13,Category:LTJ Bukem|Category:Quest (UK)|Category:Paloma's|Category:Drum & Bass
mix0010,1994-06-25 - Laurent Garnier - Essential Mix,https://www.mixesdb.com/w/1994-06-25_-_Laurent_Garnier_-_Essential_Mix,soundcloud,http://soundcloud.com/laurent-garnier/laurent-garnier-essential-mix,25,30,21,0,30,Category:Laurent Garnier|Category:Essential Mix|Category:Tech House
mix0011,1994-07-23 - Moby - Essential Mix,https://www.mixesdb.com/w/1994-07-23_-_Moby_-_Essential_Mix,soundcloud,https://soundcloud.com/jamiedmusic/moby-1994-07-23-essential-mix,30,37,23,0,37,Category:Moby|Category:Essential Mix|Category:House
